"","Gene.ID","Uniq_Name","KH2013","X","KYname","KHname","Description","name","ENSMUSG","ENSMUST","annotation_1","annotation_2","loc","SNR","variance","denoised_SNR","denoised_variance","gene_network_leiden","gene_network_n","leiden","gene_clusters_leiden","scores","logfoldchanges","pvals","pvals_adj"
"KY.Chr2.2101","KY.Chr2.2101","Glrx2-KY.Chr2.2101","KH.C2.673","Glrx2-KY.Chr2.2101","GLRX2","GLRX-10","1:143740375:143749676:1 ENSMUSG00000018196.18 ENSMUST00000129653.2 protein_coding protein_coding Glrx2 glutaredoxin 2 (thioltransferase) [Source:MGI Symbol;Acc:MGI:1916617]","Glrx2","ENSMUSG00000018196.18","ENSMUST00000129653.2","protein_coding","protein_coding","1:143740375:143749676:1",0.32204841068675,0.5409322,0.238213473389113,0.5839909,4,28,4,10,10.822643,2.1278837,6.64198860749964e-26,2.52432621414735e-25
"KY.Chr2.2103","KY.Chr2.2103","Ptprg-KY.Chr2.2103","KH.C2.624","Ptprg-KY.Chr2.2103","PTPRG","PTPRG","14:12189943:12238563:1 ENSMUSG00000021745.14 ENSMUST00000119888.1 protein_coding protein_coding Ptprg protein tyrosine phosphatase, receptor type, G [Source:MGI Symbol;Acc:MGI:97814]","Ptprg","ENSMUSG00000021745.14","ENSMUST00000119888.1","protein_coding","protein_coding","14:12189943:12238563:1",0.249241290293337,0.29185018,0.182400149288328,0.35391104,2,12,4,7,7.481684,1.8242735,1.59855934818889e-13,3.69576433015955e-13
"KY.Chr2.2105","KY.Chr2.2105","KY2019:KY.Chr2.2105","KH.C2.899","KY2019:KY.Chr2.2105","ABCC6","KH2013:KH.C2.899_BRK1","nan","nan","nan","nan","nan","nan","nan",0.529206387162072,1.1800556,0.382175278497267,1.0656731,2,35,4,7,9.075991,1.0378888,7.21295152789207e-19,2.09768334188964e-18
"KY.Chr2.2106","KY.Chr2.2106","Zmynd10-KY.Chr2.2106","KH.C2.266","Zmynd10-KY.Chr2.2106","ZMYND10","ZMYND10","9:107547298:107551319:1 ENSMUSG00000010044.12 ENSMUST00000010188.8 protein_coding protein_coding Zmynd10 zinc finger, MYND domain containing 10 [Source:MGI Symbol;Acc:MGI:2387863]","Zmynd10","ENSMUSG00000010044.12","ENSMUST00000010188.8","protein_coding","protein_coding","9:107547298:107551319:1",0.478362997915156,0.95526487,0.380558537455707,1.1098865,1,14,5,11,11.996687,1.5632392,5.83086150142653e-31,2.62629712254336e-30
"KY.Chr2.2107","KY.Chr2.2107","Arid2-KY.Chr2.2107","KH.C2.842","Arid2-KY.Chr2.2107","ARID2","ARID2","15:96287573:96404992:1 ENSMUSG00000033237.19 ENSMUST00000096250.4 protein_coding protein_coding Arid2 AT rich interactive domain 2 (ARID, RFX-like) [Source:MGI Symbol;Acc:MGI:1924294]","Arid2","ENSMUSG00000033237.19","ENSMUST00000096250.4","protein_coding","protein_coding","15:96287573:96404992:1",0.40054207816827,0.54168195,0.299555504326278,0.76119345,3,9,3,3,9.072146,1.5192018,6.36714508265491e-19,1.85897896609657e-18
"KY.Chr2.211","KY.Chr2.211","Btbd19-KY.Chr2.211","KH.C2.919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5801678,-0.59658355,0.114651114124451,0.131694935782969
"KY.Chr2.2110","KY.Chr2.2110","Srpk2-KY.Chr2.2110","KH.C2.1068","Srpk2-KY.Chr2.2110","SRPK2","SRPK/1/2","5:23503264:23616534:-1 ENSMUSG00000062604.11 ENSMUST00000088392.8 protein_coding protein_coding Srpk2 serine/arginine-rich protein specific kinase 2 [Source:MGI Symbol;Acc:MGI:1201408]","Srpk2","ENSMUSG00000062604.11","ENSMUST00000088392.8","protein_coding","protein_coding","5:23503264:23616534:-1",0.938189577963532,1.7841997,0.914326444736874,1.3790779,5,9,4,10,16.97864,1.2076625,6.23744100816048e-55,5.29502390879667e-54
"KY.Chr2.2111","KY.Chr2.2111","Elmod3-KY.Chr2.2111","KH.C2.87","Elmod3-KY.Chr2.2111","ELMOD3","ELMOD3","6:72565934:72598343:-1 ENSMUSG00000056698.11 ENSMUST00000070990.7 protein_coding protein_coding Elmod3 ELMO/CED-12 domain containing 3 [Source:MGI Symbol;Acc:MGI:2445168]","Elmod3","ENSMUSG00000056698.11","ENSMUST00000070990.7","protein_coding","protein_coding","6:72565934:72598343:-1",0.568390288747458,0.97535974,0.403292711092269,1.1106918,0,9,0,4,1.5396419,0.17123748,0.124071418275088,0.141977021892335
"KY.Chr2.2112","KY.Chr2.2112","KY2019:KY.Chr2.2112","KH.C2.574",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.97524,-5.958957,2.60403250859962e-91,5.21763866612791e-90
"KY.Chr2.2113","KY.Chr2.2113","Hacl1-KY.Chr2.2113","KH.C2.592","Hacl1-KY.Chr2.2113","HACL1","HACL1","14:31608011:31640878:-1 ENSMUSG00000021884.18 ENSMUST00000167066.7 protein_coding protein_coding Hacl1 2-hydroxyacyl-CoA lyase 1 [Source:MGI Symbol;Acc:MGI:1929657]","Hacl1","ENSMUSG00000021884.18","ENSMUST00000167066.7","protein_coding","protein_coding","14:31608011:31640878:-1",0.217300582609057,0.31226403,0.14531355399969,0.26454568,3,24,5,11,3.957357,1.1610712,8.11259067143343e-05,0.000117714640999234
"KY.Chr2.2114","KY.Chr2.2114","Rbm15-KY.Chr2.2114","KH.C2.100","Rbm15-KY.Chr2.2114","NOP2","RBM15B","3:107325421:107333673:-1 ENSMUSG00000048109.10 ENSMUST00000061772.10 protein_coding protein_coding Rbm15 RNA binding motif protein 15 [Source:MGI Symbol;Acc:MGI:2443205]","Rbm15","ENSMUSG00000048109.10","ENSMUST00000061772.10","protein_coding","protein_coding","3:107325421:107333673:-1",0.624816942915322,1.1137346,0.497456851763078,1.224712,4,59,3,3,20.049334,2.3036578,1.90983529509732e-75,2.61961468748667e-74
"KY.Chr2.2119","KY.Chr2.2119","Scrib-KY.Chr2.2119","KH.C2.370","Scrib-KY.Chr2.2119","SCRIB","KH2013:KH.C2.370_SCRIB","15:76047158:76069754:-1 ENSMUSG00000022568.17 ENSMUST00000063747.11 protein_coding protein_coding Scrib scribbled planar cell polarity [Source:MGI Symbol;Acc:MGI:2145950]","Scrib","ENSMUSG00000022568.17","ENSMUST00000063747.11","protein_coding","protein_coding","15:76047158:76069754:-1",0.679999439274395,1.4250495,0.497971072814807,1.1985046,0,3,0,14,-0.84039074,-0.087827265,0.40099819118134,0.435346641820379
"KY.Chr2.2120","KY.Chr2.2120","KY2019:KY.Chr2.2120","KH.C2.992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.130887,-4.1664343,2.08391197106201e-40,1.21612681966037e-39
"KY.Chr2.2121","KY.Chr2.2121","Rpl10a-KY.Chr2.2121","KH.C2.28","Rpl10a-KY.Chr2.2121","RPL10A","RPL10A","17:28328568:28331032:1 ENSMUSG00000037805.15 ENSMUST00000233427.1 protein_coding protein_coding Rpl10a ribosomal protein L10A [Source:MGI Symbol;Acc:MGI:1343877]","Rpl10a","ENSMUSG00000037805.15","ENSMUST00000233427.1","protein_coding","protein_coding","17:28328568:28331032:1",1.80117220863388,2.2360325,1.61676507449895,1.762572,5,12,1,9,26.44671,1.4035478,2.38634796310949e-108,7.27925171582838e-107
"KY.Chr2.2124","KY.Chr2.2124","KY2019:KY.Chr2.2124","KH.C2.22","KY2019:KY.Chr2.2124","MAPK8IP3","KH2013:KH.C2.22","nan","nan","nan","nan","nan","nan","nan",0.474918540314828,0.60979784,0.127928066469926,0.21749212,6,10,9,14,1.6223165,0.5025579,0.105122724424612,0.12112449220172
"KY.Chr2.2125","KY.Chr2.2125","KY2019:KY.Chr2.2125","KH.C2.996","KY2019:KY.Chr2.2125","SLC9B1P1","KH2013:KH.C2.996","nan","nan","nan","nan","nan","nan","nan",0.313412265336963,0.404884,0.232337098278552,0.7303771,1,13,5,6,4.788243,0.870481,1.9698906128627e-06,3.14897453268529e-06
"KY.Chr2.2126","KY.Chr2.2126","Dus3l-KY.Chr2.2126","KH.C2.723","Dus3l-KY.Chr2.2126","DUS3L","DUS3L","17:56764778:56769841:1 ENSMUSG00000007603.9 ENSMUST00000007747.9 protein_coding protein_coding Dus3l dihydrouridine synthase 3-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2147092]","Dus3l","ENSMUSG00000007603.9","ENSMUST00000007747.9","protein_coding","protein_coding","17:56764778:56769841:1",0.606682902854917,0.8304508,0.480402354003085,1.0694923,6,16,1,9,2.6902106,0.29344067,0.00730050049161258,0.00926301280753264
"KY.Chr2.2127","KY.Chr2.2127","Phospho2-KY.Chr2.2127","KH.C2.951","Phospho2-KY.Chr2.2127","PHOSPHO2","PHOSPHO1/2","2:69790972:69797222:1 ENSMUSG00000027088.10 ENSMUST00000180290.1 protein_coding protein_coding Phospho2 phosphatase, orphan 2 [Source:MGI Symbol;Acc:MGI:1920623]","Phospho2","ENSMUSG00000027088.10","ENSMUST00000180290.1","protein_coding","protein_coding","2:69790972:69797222:1",0.67258139180068,0.85229397,0.349428795287549,0.91380125,6,5,7,8,-14.230996,-1.7539136,1.67868935569497e-38,9.30392236122467e-38
"KY.Chr2.2129","KY.Chr2.2129","Synrg-KY.Chr2.2129","KH.C2.1073","Synrg-KY.Chr2.2129","SYNRG","SYNRG","11:83964428:84044578:1 ENSMUSG00000034940.15 ENSMUST00000092834.11 protein_coding protein_coding Synrg synergin, gamma [Source:MGI Symbol;Acc:MGI:1354742]","Synrg","ENSMUSG00000034940.15","ENSMUST00000092834.11","protein_coding","protein_coding","11:83964428:84044578:1",0.398279936013892,0.7628607,0.294481789570912,0.8094756,1,25,6,6,5.534597,0.82891244,4.16076648700953e-08,7.30546950844135e-08
"KY.Chr2.213","KY.Chr2.213","Arih1-KY.Chr2.213","KH.C2.181","Arih1-KY.Chr2.213","ARIH1","ARIH1","9:59393294:59486347:-1 ENSMUSG00000025234.11 ENSMUST00000165322.1 protein_coding protein_coding Arih1 ariadne RBR E3 ubiquitin protein ligase 1 [Source:MGI Symbol;Acc:MGI:1344363]","Arih1","ENSMUSG00000025234.11","ENSMUST00000165322.1","protein_coding","protein_coding","9:59393294:59486347:-1",0.47786173920476,0.98922753,0.313805523167157,0.88787323,2,27,8,2,4.310779,0.54446095,1.82619196115624e-05,2.76516378634048e-05
"KY.Chr2.2130","KY.Chr2.2130","Mcrip2-KY.Chr2.2130","KH.C2.445","Mcrip2-KY.Chr2.2130","MCRIP2","FAM195A","17:25863698:25868764:-1 ENSMUSG00000025732.6 ENSMUST00000026828.6 protein_coding protein_coding Mcrip2 MAPK regulated corepressor interacting protein 2 [Source:MGI Symbol;Acc:MGI:1915491]","Mcrip2","ENSMUSG00000025732.6","ENSMUST00000026828.6","protein_coding","protein_coding","17:25863698:25868764:-1",0.987202818149507,1.6476988,0.829645485634872,1.3870822,1,32,6,6,6.3009787,0.44080454,5.33919675557662e-10,1.03973162164933e-09
"KY.Chr2.2131","KY.Chr2.2131","Cryzl1-KY.Chr2.2131","KH.C2.439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.07564899,-0.032737862,0.939720314558134,0.971202727119184
"KY.Chr2.2132","KY.Chr2.2132","Nipal2-KY.Chr2.2132","KH.C2.146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6609044,1.2932589,0.000264606997472967,0.00037091258647831
"KY.Chr2.2133","KY.Chr2.2133","Rabl2-KY.Chr2.2133","KH.C2.998","Rabl2-KY.Chr2.2133","RABL2A","RABL2","15:89582533:89591923:-1 ENSMUSG00000022621.16 ENSMUST00000023294.14 protein_coding protein_coding Rabl2 RAB, member RAS oncogene family-like 2 [Source:MGI Symbol;Acc:MGI:1915958]","Rabl2","ENSMUSG00000022621.16","ENSMUST00000023294.14","protein_coding","protein_coding","15:89582533:89591923:-1",0.480793945755227,0.915254,0.309411674751044,0.7699986,1,7,2,0,5.7414374,0.9139108,1.2914791326424e-08,2.32910697316382e-08
"KY.Chr2.2135","KY.Chr2.2135","Mtch2-KY.Chr2.2135","KH.C2.587","Mtch2-KY.Chr2.2135","MTCH2","MTCH/1/2","CHR_MG191_PATCH:90847273:90866640:1 ENSMUSG00000111714.1 ENSMUST00000216454.1 protein_coding protein_coding Mtch2 mitochondrial carrier 2 [Source:MGI Symbol;Acc:MGI:1929260]","Mtch2","ENSMUSG00000111714.1","ENSMUST00000216454.1","protein_coding","protein_coding","CHR_MG191_PATCH:90847273:90866640:1",0.574827731564552,1.1937094,0.405396920936242,1.0549957,0,13,0,1,1.4449743,0.16688757,0.148896149572805,0.169176653614688
"KY.Chr2.2136","KY.Chr2.2136","Chek2-KY.Chr2.2136","KH.C2.768","Chek2-KY.Chr2.2136","CHEK2","CHEK2","5:110840000:110874145:1 ENSMUSG00000029521.7 ENSMUST00000066160.2 protein_coding protein_coding Chek2 checkpoint kinase 2 [Source:MGI Symbol;Acc:MGI:1355321]","Chek2","ENSMUSG00000029521.7","ENSMUST00000066160.2","protein_coding","protein_coding","5:110840000:110874145:1",0.700922172207432,0.8091099,0.570945016024339,1.2394917,4,8,3,3,26.193386,3.135909,1.00065435459946e-115,3.73531933737469e-114
"KY.Chr2.2137","KY.Chr2.2137","Parva-KY.Chr2.2137","KH.C2.97","Parva-KY.Chr2.2137","PARVB","PARVB","7:112519701:112588970:1 ENSMUSG00000030770.15 ENSMUST00000106640.1 protein_coding protein_coding Parva parvin, alpha [Source:MGI Symbol;Acc:MGI:1931144]","Parva","ENSMUSG00000030770.15","ENSMUST00000106640.1","protein_coding","protein_coding","7:112519701:112588970:1",0.620560324913091,1.2238444,0.455253853661909,1.1293849,5,12,1,10,11.577962,1.2450105,6.24987084003994e-29,2.63908543994455e-28
"KY.Chr2.2138","KY.Chr2.2138","Slc6a15-KY.Chr2.2138","KH.C2.116","Slc6a15-KY.Chr2.2138","SLC6A17","KH2013:KH.C2.116_SLC6A15/17","10:103367843:103419377:1 ENSMUSG00000019894.14 ENSMUST00000074204.11 protein_coding protein_coding Slc6a15 solute carrier family 6 (neurotransmitter transporter), member 15 [Source:MGI Symbol;Acc:MGI:2143484]","Slc6a15","ENSMUSG00000019894.14","ENSMUST00000074204.11","protein_coding","protein_coding","10:103367843:103419377:1",0.432157320541616,0.40790758,0.313712244878074,0.6299202,6,12,1,9,-2.7590458,-0.43415216,0.00593607916670106,0.0075812290560508
"KY.Chr2.214","KY.Chr2.214","Tpcn1-KY.Chr2.214","KH.C2.559","Tpcn1-KY.Chr2.214","TPCN1","KH2013:KH.C2.559_TPCN1","5:120534153:120588673:-1 ENSMUSG00000032741.9 ENSMUST00000046426.9 protein_coding protein_coding Tpcn1 two pore channel 1 [Source:MGI Symbol;Acc:MGI:2182472]","Tpcn1","ENSMUSG00000032741.9","ENSMUST00000046426.9","protein_coding","protein_coding","5:120534153:120588673:-1",0.236955156392354,0.24760045,0.159104388566516,0.26332116,0,31,0,4,1.4596981,0.40679374,0.144746253870064,0.164621678545879
"KY.Chr2.2140","KY.Chr2.2140","Marchf6-KY.Chr2.2140","KH.C2.827","Marchf6-KY.Chr2.2140","MARCH6","6-Mar","15:31455891:31531053:-1 ENSMUSG00000039100.10 ENSMUST00000090227.5 protein_coding protein_coding Marchf6 membrane associated ring-CH-type finger 6 [Source:MGI Symbol;Acc:MGI:2442773]","Marchf6","ENSMUSG00000039100.10","ENSMUST00000090227.5","protein_coding","protein_coding","15:31455891:31531053:-1",0.583253093307871,1.0576196,0.396996648539222,1.0941805,1,17,6,4,5.0331955,0.58646685,5.93424012877353e-07,9.76694444387429e-07
"KY.Chr2.2141","KY.Chr2.2141","Tnpo3-KY.Chr2.2141","KH.C2.89","Tnpo3-KY.Chr2.2141","TNPO3","TNPO3","6:29540827:29609607:-1 ENSMUSG00000012535.14 ENSMUST00000115251.7 protein_coding protein_coding Tnpo3 transportin 3 [Source:MGI Symbol;Acc:MGI:1196412]","Tnpo3","ENSMUSG00000012535.14","ENSMUST00000115251.7","protein_coding","protein_coding","6:29540827:29609607:-1",0.639556976840745,0.8871608,0.45895477314176,1.1411996,1,55,6,0,8.854146,1.0196613,4.7687650349552e-18,1.33875872804803e-17
"KY.Chr2.2149","KY.Chr2.2149","H1f0-KY.Chr2.2149","KH.C2.484","H1f0-KY.Chr2.2149","H1F0","histone","15:79028450:79030504:1 ENSMUSG00000096210.2 ENSMUST00000180086.2 protein_coding protein_coding H1f0 H1.0 linker histone [Source:MGI Symbol;Acc:MGI:95893]","H1f0","ENSMUSG00000096210.2","ENSMUST00000180086.2","protein_coding","protein_coding","15:79028450:79030504:1",1.35971521018151,5.4724326,1.22395259910265,3.7034867,2,6,8,2,22.850086,1.673646,1.25325970033959e-89,2.41068189418262e-88
"KY.Chr2.2151","KY.Chr2.2151","KY2019:KY.Chr2.2151","KH.C2.129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.189106,-2.5734591,1.47956564225976e-09,2.81420407758807e-09
"KY.Chr2.2152","KY.Chr2.2152","Wdr18-KY.Chr2.2152","KH.C2.3","Wdr18-KY.Chr2.2152","SVIP","CG32039","10:79960152:79970203:1 ENSMUSG00000035754.8 ENSMUST00000045247.8 protein_coding protein_coding Wdr18 WD repeat domain 18 [Source:MGI Symbol;Acc:MGI:2158400]","Wdr18","ENSMUSG00000035754.8","ENSMUST00000045247.8","protein_coding","protein_coding","10:79960152:79970203:1",0.771384883700004,1.3992068,0.666182257797027,1.2663687,4,52,3,7,15.993649,1.3324213,1.86195180004552e-50,1.4199119370683e-49
"KY.Chr2.2153","KY.Chr2.2153","Nme2-KY.Chr2.2153","KH.C2.523","Nme2-KY.Chr2.2153","NME1","KH2013:KH.C2.523_NME1/2","11:93949817:93955783:-1 ENSMUSG00000020857.11 ENSMUST00000072566.4 protein_coding protein_coding Nme2 NME/NM23 nucleoside diphosphate kinase 2 [Source:MGI Symbol;Acc:MGI:97356]","Nme2","ENSMUSG00000020857.11","ENSMUST00000072566.4","protein_coding","protein_coding","11:93949817:93955783:-1",0.686765208654491,0.9236211,0.525666835347681,1.2693037,4,25,1,10,20.322447,2.2670937,7.84308628901045e-77,1.11897435275149e-75
"KY.Chr2.2155","KY.Chr2.2155","Tmem186-KY.Chr2.2155","KH.C2.945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.996423,2.205684,6.91788665077098e-07,1.13470552508132e-06
"KY.Chr2.2156","KY.Chr2.2156","Phf10-KY.Chr2.2156","KH.C2.583","Phf10-KY.Chr2.2156","PHF10","PHF10","17:14945009:14961273:-1 ENSMUSG00000023883.13 ENSMUST00000024657.11 protein_coding protein_coding Phf10 PHD finger protein 10 [Source:MGI Symbol;Acc:MGI:1919307]","Phf10","ENSMUSG00000023883.13","ENSMUST00000024657.11","protein_coding","protein_coding","17:14945009:14961273:-1",0.388234477596054,0.50036645,0.307450568345457,0.7363339,4,24,1,5,14.838811,2.6154435,4.37685444537445e-45,2.91611940431428e-44
"KY.Chr2.2157","KY.Chr2.2157","Lrmda-KY.Chr2.2157","KH.C2.176","Lrmda-KY.Chr2.2157","LRMDA","C10ORF11","14:22019712:23056085:1 ENSMUSG00000063458.13 ENSMUST00000075639.10 protein_coding protein_coding Lrmda leucine rich melanocyte differentiation associated [Source:MGI Symbol;Acc:MGI:1923883]","Lrmda","ENSMUSG00000063458.13","ENSMUST00000075639.10","protein_coding","protein_coding","14:22019712:23056085:1",0.348406741911497,0.55651754,0.243844211469794,0.569551,1,22,2,0,8.672779,1.7637614,1.66148720981958e-17,4.56713447890891e-17
"KY.Chr2.2163","KY.Chr2.2163","KY2019:KY.Chr2.2163","KH.C2.462","KY2019:KY.Chr2.2163","ORF:[71..1411/2393]","KH2013:KH.C2.462","nan","nan","nan","nan","nan","nan","nan",0.352841833870805,0.52365655,0.213275256903433,0.5086527,1,27,6,0,4.32708,0.83221495,1.67309784566663e-05,2.53946804462025e-05
"KY.Chr2.2164","KY.Chr2.2164","Tardbp-KY.Chr2.2164","KH.C2.277","Tardbp-KY.Chr2.2164","TARDBP","TARDBP","4:148616725:148626758:-1 ENSMUSG00000041459.15 ENSMUST00000191450.6 protein_coding nonsense_mediated_decay Tardbp TAR DNA binding protein [Source:MGI Symbol;Acc:MGI:2387629]","Tardbp","ENSMUSG00000041459.15","ENSMUST00000191450.6","protein_coding","nonsense_mediated_decay","4:148616725:148626758:-1",1.30147543311394,1.8558983,1.02274846206497,1.5958968,3,13,2,3,11.039835,0.735926,3.86592076139986e-26,1.48514578122386e-25
"KY.Chr2.2165","KY.Chr2.2165","Hid1-KY.Chr2.2165","KH.C2.708","Hid1-KY.Chr2.2165","HID1","C17ORF28","11:115347707:115367719:-1 ENSMUSG00000034586.14 ENSMUST00000044152.12 protein_coding protein_coding Hid1 HID1 domain containing [Source:MGI Symbol;Acc:MGI:2445087]","Hid1","ENSMUSG00000034586.14","ENSMUST00000044152.12","protein_coding","protein_coding","11:115347707:115367719:-1",0.238323196259612,0.2855297,0.135054667127592,0.2337011,1,44,6,4,2.7836115,0.88221145,0.00548339418488452,0.00701953452261681
"KY.Chr2.2169","KY.Chr2.2169","KY2019:KY.Chr2.2169","KH.C2.250","KY2019:KY.Chr2.2169","TENM2","KH2013:KH.C2.250","nan","nan","nan","nan","nan","nan","nan",0.480985686642027,1.1451311,0.347627635710409,1.1799489,2,37,8,2,2.5650153,0.31376427,0.0104925990639901,0.0131438855881274
"KY.Chr2.2170","KY.Chr2.2170","Cdk2ap1-KY.Chr2.2170","KH.C2.138","Cdk2ap1-KY.Chr2.2170","CDK2AP1","CDK2AP1/2","5:124346027:124363082:-1 ENSMUSG00000029394.11 ENSMUST00000196910.1 protein_coding protein_coding Cdk2ap1 CDK2 (cyclin-dependent kinase 2)-associated protein 1 [Source:MGI Symbol;Acc:MGI:1202069]","Cdk2ap1","ENSMUSG00000029394.11","ENSMUST00000196910.1","protein_coding","protein_coding","5:124346027:124363082:-1",0.431393255734695,0.9605244,0.296026232268988,0.9849059,2,10,4,7,6.532821,0.88533723,1.10513148966652e-10,2.21758712028076e-10
"KY.Chr2.2171","KY.Chr2.2171","Pdzd11-KY.Chr2.2171","KH.C2.665","Pdzd11-KY.Chr2.2171","PDZD11","PDZD11","X:100622908:100625935:-1 ENSMUSG00000015668.13 ENSMUST00000059099.6 protein_coding protein_coding Pdzd11 PDZ domain containing 11 [Source:MGI Symbol;Acc:MGI:1919871]","Pdzd11","ENSMUSG00000015668.13","ENSMUST00000059099.6","protein_coding","protein_coding","X:100622908:100625935:-1",0.384383889021518,0.7654031,0.254696744830027,0.6710049,1,26,5,6,5.5674996,0.8702753,3.38968122056644e-08,5.9734089196229e-08
"KY.Chr2.2178","KY.Chr2.2178","Ccn2-KY.Chr2.2178","KH.S346.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.083119,-1.4214829,0.0378234846083951,0.0452123097928981
"KY.Chr2.2179","KY.Chr2.2179","G2e3-KY.Chr2.2179","KH.S346.3","G2e3-KY.Chr2.2179","G2E3","G2E3","12:51348372:51373370:1 ENSMUSG00000035293.13 ENSMUST00000121521.1 protein_coding protein_coding G2e3 G2/M-phase specific E3 ubiquitin ligase [Source:MGI Symbol;Acc:MGI:2444298]","G2e3","ENSMUSG00000035293.13","ENSMUST00000121521.1","protein_coding","protein_coding","12:51348372:51373370:1",0.247216747958694,0.24044068,0.174522776300319,0.3519357,4,19,4,10,9.01271,2.632383,1.09634529103322e-18,3.17148717416721e-18
"KY.Chr2.2181","KY.Chr2.2181","Pex19-KY.Chr2.2181","KH.S346.1","Pex19-KY.Chr2.2181","PEX19","PEX19","1:172126762:172136493:1 ENSMUSG00000003464.13 ENSMUST00000111252.3 protein_coding protein_coding Pex19 peroxisomal biogenesis factor 19 [Source:MGI Symbol;Acc:MGI:1334458]","Pex19","ENSMUSG00000003464.13","ENSMUST00000111252.3","protein_coding","protein_coding","1:172126762:172136493:1",0.254786991797668,0.36040592,0.171858343963778,0.44474274,2,39,4,7,7.359027,1.723973,3.83140362943695e-13,8.64524556186781e-13
"KY.Chr2.2185","KY.Chr2.2185","Bet1l-KY.Chr2.2185","KH.S346.11","Bet1l-KY.Chr2.2185","BET1L","BET1L","7:140853394:140857109:-1 ENSMUSG00000025484.9 ENSMUST00000026557.9 protein_coding protein_coding Bet1l Bet1 golgi vesicular membrane trafficking protein like [Source:MGI Symbol;Acc:MGI:1913128]","Bet1l","ENSMUSG00000025484.9","ENSMUST00000026557.9","protein_coding","protein_coding","7:140853394:140857109:-1",0.596362447729435,1.200398,0.334605737018773,0.9499377,4,11,3,7,6.714831,0.85248756,3.38402963947447e-11,6.96311157883306e-11
"KY.Chr2.2186","KY.Chr2.2186","Naalad2-KY.Chr2.2186","KH.S346.8","Naalad2-KY.Chr2.2186","NAALAD2","C35C5.2","9:18323020:18386036:-1 ENSMUSG00000043943.14 ENSMUST00000166825.7 protein_coding protein_coding Naalad2 N-acetylated alpha-linked acidic dipeptidase 2 [Source:MGI Symbol;Acc:MGI:1919810]","Naalad2","ENSMUSG00000043943.14","ENSMUST00000166825.7","protein_coding","protein_coding","9:18323020:18386036:-1",0.620927468755698,1.330347,0.395072858769044,1.0608033,6,6,7,8,-13.514387,-1.7108384,1.71901602663157e-35,8.89427596057791e-35
"KY.Chr2.2188","KY.Chr2.2188","Creb3l1-KY.Chr2.2188","KH.L108.4","Creb3l1-KY.Chr2.2188","CREB3L1","CREB3L1/2","2:91982328:92024502:-1 ENSMUSG00000027230.9 ENSMUST00000028663.4 protein_coding protein_coding Creb3l1 cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062]","Creb3l1","ENSMUSG00000027230.9","ENSMUST00000028663.4","protein_coding","protein_coding","2:91982328:92024502:-1",1.00757448960399,1.4892995,0.324950297142496,0.9135416,1,15,2,6,6.4504895,0.9682683,1.84778334047051e-10,3.68429970935279e-10
"KY.Chr2.219","KY.Chr2.219","Kcp-KY.Chr2.219","KH.C2.562",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5147053,0.1745644,0.606901368733313,0.644089145708793
"KY.Chr2.2191","KY.Chr2.2191","Pxn-KY.Chr2.2191","KH.L108.1","Pxn-KY.Chr2.2191","PXN","PXN","5:115544085:115554501:1 ENSMUSG00000029528.19 ENSMUST00000202564.1 protein_coding protein_coding Pxn paxillin [Source:MGI Symbol;Acc:MGI:108295]","Pxn","ENSMUSG00000029528.19","ENSMUST00000202564.1","protein_coding","protein_coding","5:115544085:115554501:1",0.409329874597966,0.8378919,0.262653587341973,0.68063796,1,17,2,0,5.771141,1.0629741,1.07913659661272e-08,1.95262099984706e-08
"KY.Chr2.2192","KY.Chr2.2192","Ipo9-KY.Chr2.2192","KH.L108.36","Ipo9-KY.Chr2.2192","IPO9","NCAPH2","1:135384473:135430458:-1 ENSMUSG00000041879.13 ENSMUST00000161032.7 protein_coding nonsense_mediated_decay Ipo9 importin 9 [Source:MGI Symbol;Acc:MGI:1918944]","Ipo9","ENSMUSG00000041879.13","ENSMUST00000161032.7","protein_coding","nonsense_mediated_decay","1:135384473:135430458:-1",0.435858275547409,0.59377486,0.316956716844289,0.95498466,4,12,4,7,13.561946,1.9894816,1.29054257149365e-38,7.1769969537147e-38
